team,year,wins,d_wins,ol_return,dl_return
ARI,2016,7,-6,1,2
ATL,2016,11,3,4,2
BAL,2016,8,3,3,3
BUF,2016,7,-1,4,1
CAR,2016,6,-9,4,3
CHI,2016,3,-3,1,1
CIN,2016,6,-6,4,3
CLE,2016,1,-2,2,1
DAL,2016,13,9,4,1
DEN,2016,9,-3,2,2
DET,2016,9,2,3,3
GB,2016,10,0,4,2
HOU,2016,9,0,2,2
IND,2016,8,0,2,1
JAX,2016,3,-2,2,0
KC,2016,12,1,3,2
LA,2016,4,-3,3,3
LAC,2016,5,1,2,1
LV,2016,12,5,4,3
MIA,2016,10,4,1,1
MIN,2016,8,-3,3,2
NE,2016,14,2,3,2
NO,2016,7,0,3,1
NYG,2016,11,5,3,1
NYJ,2016,5,-5,2,3
PHI,2016,7,0,3,2
PIT,2016,11,1,4,2
SEA,2016,10,0,2,3
SF,2016,2,-3,1,3
TB,2016,9,3,3,2
TEN,2016,9,6,1,3
WAS,2016,8,-1,4,2
ARI,2017,8,1,3,3
ATL,2017,10,-1,4,3
BAL,2017,9,1,1,2
BUF,2017,9,2,3,2
CAR,2017,11,5,3,2
CHI,2017,5,2,4,3
CIN,2017,7,1,3,3
CLE,2017,0,-1,1,2
DAL,2017,9,-4,3,2
DEN,2017,5,-4,2,1
DET,2017,9,0,3,1
GB,2017,7,-3,3,3
HOU,2017,4,-5,3,1
IND,2017,4,-4,3,0
JAX,2017,10,7,4,2
KC,2017,10,-2,4,2
LA,2017,11,7,2,2
LAC,2017,9,4,1,1
LV,2017,6,-6,4,2
MIA,2017,6,-4,2,3
MIN,2017,13,5,1,3
NE,2017,13,-1,5,1
NO,2017,11,4,3,2
NYG,2017,3,-8,3,3
NYJ,2017,5,0,3,3
PHI,2017,13,6,3,2
PIT,2017,13,2,4,3
SEA,2017,9,-1,2,2
SF,2017,6,4,3,1
TB,2017,5,-4,4,2
TEN,2017,9,0,5,3
WAS,2017,7,-1,4,1
ARI,2018,3,-5,0,1
ATL,2018,7,-3,4,2
BAL,2018,10,1,2,2
BUF,2018,6,-3,3,2
CAR,2018,7,-4,1,3
CHI,2018,12,7,3,2
CIN,2018,6,-1,2,2
CLE,2018,7,7,3,2
DAL,2018,10,1,3,3
DEN,2018,6,1,2,3
DET,2018,6,-3,3,1
GB,2018,6,-1,3,3
HOU,2018,11,7,1,2
IND,2018,10,6,2,1
JAX,2018,5,-5,3,3
KC,2018,12,2,2,2
LA,2018,13,2,4,2
LAC,2018,12,3,2,2
LV,2018,4,-2,3,0
MIA,2018,7,1,3,2
MIN,2018,8,-5,3,3
NE,2018,11,-2,4,4
NO,2018,13,2,4,3
NYG,2018,5,2,0,2
NYJ,2018,4,-1,4,2
PHI,2018,9,-4,4,3
PIT,2018,9,-4,4,4
SEA,2018,10,1,2,2
SF,2018,4,-2,2,2
TB,2018,5,0,3,1
TEN,2018,9,0,5,2
WAS,2018,7,0,4,2
ARI,2019,5,2,1,2
ATL,2019,7,0,3,2
BAL,2019,14,4,4,3
BUF,2019,10,4,1,1
CAR,2019,5,-2,3,1
CHI,2019,8,-4,4,3
CIN,2019,2,-4,2,3
CLE,2019,6,-1,3,2
DAL,2019,8,-2,4,2
DEN,2019,7,1,2,1
DET,2019,3,-3,4,2
GB,2019,13,7,3,3
HOU,2019,10,-1,2,3
IND,2019,7,-3,5,3
JAX,2019,6,1,3,2
KC,2019,12,0,3,2
LA,2019,9,-4,3,2
LAC,2019,5,-7,3,1
LV,2019,7,3,3,2
MIA,2019,5,-2,1,1
MIN,2019,10,2,3,3
NE,2019,12,1,3,1
NO,2019,13,0,4,2
