team,year,wins,games,takeaways,giveaways,to_diff,takeaway_rank,giveaway_rank,to_diff_rank
ARI,2016,7,16,28,28,0,5.0,26.0,17.5
ATL,2016,11,16,22,11,11,16.0,1.5,4.5
BAL,2016,8,16,28,23,5,5.0,17.5,10.0
BUF,2016,7,16,18,12,6,24.0,3.0,7.5
CAR,2016,6,16,27,29,-2,8.0,28.0,21.5
CHI,2016,3,16,11,31,-20,32.0,30.0,31.0
CIN,2016,6,16,20,17,3,19.5,9.0,12.0
CLE,2016,1,16,13,25,-12,29.5,22.0,29.0
DAL,2016,13,16,20,15,5,19.5,5.5,10.0
DEN,2016,9,16,27,25,2,8.0,22.0,14.0
DET,2016,9,16,14,15,-1,28.0,5.5,19.5
GB,2016,10,16,25,17,8,12.0,9.0,6.0
HOU,2016,9,16,17,24,-7,26.5,19.5,26.5
IND,2016,8,16,17,22,-5,26.5,16.0,24.5
JAX,2016,3,16,13,29,-16,29.5,28.0,30.0
KC,2016,12,16,33,17,16,1.0,9.0,1.5
LA,2016,4,16,18,29,-11,24.0,28.0,28.0
LAC,2016,5,16,28,35,-7,5.0,32.0,26.5
LV,2016,12,16,30,14,16,2.0,4.0,1.5
MIA,2016,10,16,25,23,2,12.0,17.5,14.0
MIN,2016,8,16,27,16,11,8.0,7.0,4.5
NE,2016,14,16,23,11,12,14.5,1.5,3.0
NO,2016,7,16,21,24,-3,17.0,19.5,23.0
NYG,2016,11,16,25,27,-2,12.0,24.5,21.5
NYJ,2016,5,16,12,34,-22,31.0,31.0,32.0
PHI,2016,7,16,26,20,6,10.0,14.0,7.5
PIT,2016,11,16,23,18,5,14.5,12.0,10.0
SEA,2016,10,16,19,18,1,22.0,12.0,16.0
SF,2016,2,16,20,25,-5,19.5,22.0,24.5
TB,2016,9,16,29,27,2,3.0,24.5,14.0
TEN,2016,9,16,18,18,0,24.0,12.0,17.5
WAS,2016,8,16,20,21,-1,19.5,15.0,19.5
ARI,2017,8,16,21,25,-4,16.5,24.0,24.0
ATL,2017,10,16,16,18,-2,27.5,9.5,18.5
BAL,2017,9,16,34,17,17,1.0,7.5,1.0
